Word1	Word2	Relation
tắc	nghẽn	SYN
kết_thúc	khởi_đầu	ANT
bổ_dụng	miễn_nhiệm	ANT
chê_bai	khen_ngợi	ANT
xoi	xuyên	SYN
phạm	giữ	ANT
giải_tán	tập_hợp	ANT
đánh_hỏng	chấp_thuận	ANT
đánh_cá	đánh_cuộc	SYN
chối_từ	chấp_nhận	ANT
lủi	lỉnh	SYN
mở_rộng	thu_hẹp	ANT
tịch	viên_tịch	SYN
thoái	tiến	ANT
nói_chuyện	chuyện_trò	SYN
giải_toả	phong_toả	ANT
tóm_tắt	mài_giũa	ANT
dao_động	ngả_nghiêng	SYN
đâm_ra	sinh	SYN
cá_cược	đánh_cược	SYN
rối_bù	rối_mù	SYN
rụt	thè	ANT
tụ_tập	lan_truyền	ANT
thu	xoá_bỏ	ANT
nhào	bổ_nhào	SYN
bội_nghĩa	biết_ơn	ANT
chê	khen	ANT
báo_ân	báo_oán	ANT
vuốt_ve	ve_vuốt	SYN
quên_lãng	nhớ	ANT
ngoái	ngoảnh	SYN
cho_phép	khước_từ	ANT
tháo	sắp_xếp	ANT
chõ	chõ_mồm	SYN
mất	lĩnh	ANT
giao	trao	SYN
mở	sắp_xếp	ANT
phát_triển	suy_thoái	ANT
rút	dâng	ANT
phản_đối	đồng_ý	ANT
khám	khám_xét	SYN
giải_phẫu	phẫu_thuật	SYN
bổ_nhậm	miễn_nhiệm	ANT
nản_chí	thoái_chí	SYN
áp_dụng	ứng_dụng	SYN
bàn_bạc	luận_bàn	SYN
khởi_động	ngừng	ANT
bất_an	xả	ANT
cải_giá	tái_giá	SYN
xỉa	xía	SYN
trôi	đắm	ANT
xuất_gia	xuống_tóc	SYN
chìm	nổi	ANT
tránh_mặt	đối_mặt	ANT
bậm	bặm	SYN
tố_giác	cáo_giác	SYN
thành_công	thất_bại	ANT
lơ_là	sao_lãng	SYN
nhập	tách	ANT
va	trật	ANT
buộc	bắt_buộc	SYN
ăn_năn	ân_hận	SYN
cá_cược	đánh_cuộc	SYN
ghét	yêu	ANT
giận	dỗi	SYN
chần_chừ	ngần_ngừ	SYN
bội_nghĩa	hàm_ơn	ANT
ngỏm	ngủm	SYN
xịch	xít	SYN
đợi	đợi_chờ	SYN
nằm	ngồi	ANT
đập	hụt	ANT
bức_hiếp	ức_hiếp	SYN
dấp	xấp	SYN
chia_ly	đoàn_tụ	ANT
hết	bắt_đầu	ANT
để_tâm	bỏ_dở	ANT
quí_mến	căm	ANT
ngăn_cản	đồng_ý	ANT
đồn_đãi	phao	SYN
bác_bỏ	chấp_thuận	ANT
dự	tham_dự	SYN
tụ_tập	tập_hợp	SYN
nảy	phát_sinh	SYN
mong_đợi	trông_mong	SYN
rũ	vỗ	SYN
chao_đảo	nao_núng	SYN
lo	bảo_đảm	ANT
hạ_nhục	lăng_nhục	SYN
nguyền_rủa	mong	ANT
bán	mua	ANT
ca_tụng	chỉ_trích	ANT
dây	dính_dấp	SYN
phanh_phui	vạch_trần	SYN
thí_điểm	thí_nghiệm	SYN
hắt_hơi	hắt_xì_hơi	SYN
vòng_quanh	quanh_co	SYN
cốc	củng	SYN
ca_ngợi	lên_án	ANT
đong_đưa	vung_vẩy	SYN
phó_thác	uỷ_thác	SYN
tắt	đóng	SYN
bật	tắt	ANT
rớ	rờ	SYN
ăn_xin	hành_khất	SYN
thờ_ơ	hững_hờ	SYN
tu_sửa	sửa_sang	SYN
lẩm_bẩm	lẩm_nhẩm	SYN
rút_gọn	mài_dũa	ANT
tập_kết	tập_trung	SYN
rơi	rớt	SYN
xem_thường	tôn_trọng	ANT
ganh	tị	SYN
phân_bì	tị_nạnh	SYN
sưu_tập	truyền_bá	ANT
chia	đoàn_kết	ANT
phá_bĩnh	phá_đám	SYN
bao_phủ	tháo	ANT
giảm	tăng	ANT
vô_trùng	sát_trùng	SYN
mở_màn	ngừng	ANT
đan	tháo	ANT
đền	thường	SYN
bồi_bổ	bồi_dưỡng	SYN
bít	bịt	SYN
khẳng_định	phủ_định	ANT
tán_thành	phản_đối	ANT
chú_thích	ghi_chú	SYN
khiếp_đảm	khiếp_vía	SYN
bại	thắng	ANT
kệ	mặc_kệ	SYN
để_tâm	bỏ	ANT
pha_chế	điều_chế	SYN
phân_li	đoàn_tụ	ANT
chần_chừ	dứt_khoát	ANT
sa_thải	thuê	ANT
nuông	nuông_chiều	SYN
nhập_ngoại	nhập_nội	SYN
đâm	hoá	SYN
giải_tán	tụ_tập	ANT
hắng_giọng	tằng_hắng	SYN
cóp_nhặt	quảng_bá	ANT
phúng	phúng_viếng	SYN
che	cởi	ANT
nhét	nhồi	SYN
chọn	lựa	SYN
lặn	mọc	ANT
ghìm	nén	SYN
rớt	trúng_tuyển	ANT
rờ_mó	sờ_mó	SYN
đóng	mở	ANT
chi	thu	ANT
xét_duyệt	xoá_bỏ	ANT
ào	tràn	SYN
tránh_né	áp_dụng	ANT
giải_ngũ	tập_hợp	ANT
báo_ân	trả_thù	ANT
bất_kính	coi_trọng	ANT
chuồn	lẻn	SYN
trông	trông_nom	SYN
bỏ_cuộc	gia_nhập	ANT
thoái_chí	kiên_định	ANT
rủa	ước	ANT
lên	xuống	ANT
lơ	lắng_nghe	ANT
tiến	lui	ANT
phản_đối	đồng_tình	ANT
phá_quấy	quậy_phá	SYN
nổi_giận	nổi_nóng	SYN
hoang_phí	tằn_tiện	ANT
phá_quấy	quấy_nhiễu	SYN
bóc_trần	lột_trần	SYN
chia_li	đoàn_tụ	ANT
vi_phạm	thi_hành	ANT
ghi_âm	loại_bỏ	ANT
lấy	dán	ANT
kích_động	khích_động	SYN
hi_vọng	thất_vọng	ANT
kiềm_chế	kềm_chế	SYN
cắm_đầu	chúi_đầu	SYN
cản	ngăn	SYN
chấp_thuận	từ_chối	ANT
xắn	trải	ANT
lè	thụt	ANT
thành_lập	thủ_tiêu	ANT
ngồi_xổm	ngồi_chồm_hổm	SYN
tham_dự	lỡ	ANT
rã	tan	SYN
coi_nhẹ	coi_trọng	ANT
băng_hà	ra_đời	ANT
vận_chuyển	chuyển_vận	SYN
chờ_mong	mong_chờ	SYN
sắp_xếp	lộn_xộn	ANT
chín	sống	ANT
nhớ	quên	ANT
xếp_đặt	sắp_đặt	SYN
trốn	hiện	ANT
chen	chêm	SYN
lỉnh	lỏn	SYN
hành_hình	hành_quyết	SYN
đố_kỵ	ghen_ghét	SYN
khuyến_khích	kiềm_toả	ANT
gởi_gắm	gửi_gắm	SYN
ngả_nghiêng	thối_chí	SYN
phản_đối	ủng_hộ	ANT
biệt_ly	sum_họp	ANT
chia_phôi	li_biệt	SYN
công_kích	bảo_vệ	ANT
phớt_lờ	chú_ý	ANT
thộp	chộp	SYN
lăng_mạ	nhục_mạ	SYN
ngoẻo	toi	SYN
tụ_tập	quảng_bá	ANT
nhũng_nhiễu	sách_nhiễu	SYN
lưu_thông	tắc_nghẽn	ANT
phong	phong_tặng	SYN
làm_bộ	giả_bộ	SYN
thu_nạp	ngăn_cản	ANT
giải	cuộn	ANT
van	van_xin	SYN
giội	trút	SYN
được	thua	ANT
xa_cách	xa_rời	SYN
mong	vô_vọng	ANT
thụt_lùi	tiến_bộ	ANT
chế_giễu	chế_nhạo	SYN
bọc	cởi	ANT
cầu_khẩn	khẩn_cầu	SYN
thức_giấc	tỉnh_giấc	SYN
nhốt	thả	ANT
bắt_thăm	bốc_thăm	SYN
giả_trang	hoá_trang	SYN
cường_điệu	thổi_phồng	SYN
bế_mạc	khai_mạc	ANT
bác	chấp_thuận	ANT
còn	hết	ANT
hy_vọng	vô_vọng	ANT
đầu_hàng	hàng	SYN
tháo_dỡ	lắp	ANT
ăn_hiếp	bắt_nạt	SYN
thương	yêu_thương	SYN
chuyện_trò	trò_chuyện	SYN
phủ_nhận	xác_nhận	ANT
giả_mạo	sửa_chữa	ANT
khinh_thường	coi_trọng	ANT
chống_cự	đầu_hàng	ANT
khoan_nhượng	nhân_nhượng	SYN
hàng	vượt	ANT
thăng	chào_đời	ANT
phớt	để_tâm	ANT
tốn	mất	SYN
ly_biệt	đoàn_tụ	ANT
thiết_nghĩ	thiết_tưởng	SYN
ghìm	kìm	SYN
kí_kết	ký_kết	SYN
ước_vọng	tuyệt_vọng	ANT
giữ	giải_phóng	ANT
bố_trí	xáo_trộn	ANT
chứng_thực	nhận_thực	SYN
bắt_đầu	kết_thúc	ANT
tán_dương	trách	ANT
coi_nhẹ	coi_thường	SYN
kìm_hãm	thúc_đẩy	ANT
lẳng	quăng	SYN
dạt	giạt	SYN
làm_lơ	làm_ngơ	SYN
tích_góp	góp_nhặt	SYN
nản_chí	kiên_định	ANT
khẳng_định	từ_bỏ	ANT
hy_vọng	thất_vọng	ANT
giam_cầm	giam_giữ	SYN
tiến	lùi	ANT
lừa_đảo	tỉnh_ngộ	ANT
trấn_an	khuyến_khích	ANT
động_chạm	va_chạm	SYN
ngừng	khởi_đầu	ANT
bác_bỏ	chấp_nhận	ANT
am_tường	thông_hiểu	SYN
phân_chia	liên_kết	ANT
chà_đạp	giày_xéo	SYN
thọc	xọc	SYN
giam_giữ	nhốt	SYN
chia_phôi	đoàn_tụ	ANT
doạ	đe	SYN
tinh_chế	tinh_luyện	SYN
lặt	lượm	SYN
khước_từ	chấp_nhận	ANT
chia_tay	sum_họp	ANT
lao	xốc	SYN
vào	ra	ANT
nhảy_xổ	nhảy_bổ	SYN
gỡ	trói	ANT
vui	ca_cẩm	ANT
kết_nạp	khai_trừ	ANT
báo_oán	báo_ơn	ANT
dạy_bảo	khuyên_bảo	SYN
truy_lùng	săn_lùng	SYN
chọc	thọc	SYN
đùa_giỡn	nô_giỡn	SYN
phản_kháng	quy_hàng	ANT
